width,height
1200,902
1200,800
1200,800
1200,1074
1200,1600
1200,1636
1200,900
1200,800
1200,1027
1200,804
1200,1200
960,720
673,1458
1179,1149
229,221
968,1082
1179,1155
1024,1280
949,932
236,223
564,564
387,395
564,752
1440,1800
563,751
564,757
1069,1082
564,752
480,852
1242,1228
1026,1467
1080,1080
720,1280
564,705
500,500
3783,2848
564,492
720,960
794,1033
719,726
720,705
538,571
1280,960
1080,1080
720,960
1673,1792
1080,1080
640,640
736,1091
800,530
1025,1280
1024,1280
1600,1200
382,679
756,1008
750,556
1536,2048
1096,2174
1536,2048
1088,1071
660,330
1280,720
1125,1015
736,911
1337,1337
799,534
1536,2048
1000,655
563,799
732,1024
528,960
1000,750
564,752
736,736
750,734
1600,1200
750,722
799,600
643,869
1071,1071
512,512
960,596
1536,2048
736,920
1152,2048
564,749
672,652
625,833
564,564
1536,2048
402,562
1139,1473
1169,1162
800,533
720,884
749,600
1080,1202
564,547
1200,1142
1200,855
1200,1600
1200,800
640,631
720,498
1200,900
1200,795
1200,787
1004,650
1200,1104
1198,853
1200,942
1200,960
1200,1012
1200,900
